held_out_family,feature,auroc,average_precision,balanced_accuracy,score_gap,finite,active_features,shuffled_auroc_mean,shuffled_auroc_max
force,d6:read_facing:middle,0.5425,0.5819970091734789,0.525,0.10316547167084134,True,640,0.47462499999999996,0.551875
force,d6:read_facing:leaf,0.526875,0.5361295117176279,0.5375,0.04499174334946343,True,640,0.4995,0.586875
force,d7:fold:root,0.51,0.5245411855089088,0.5249999999999999,-0.002913306286549844,True,640,0.492875,0.57125
force,d7:fold:middle,0.510625,0.5180819215653585,0.525,0.018607251192983232,True,640,0.48949999999999994,0.58625
force,d7:fold:leaf,0.49125,0.5135073997285853,0.475,-0.021649455558644837,True,640,0.496875,0.6175
force,d7:read_facing:root,0.45,0.46040956610328704,0.5125,-0.09620622117559074,True,640,0.48637499999999995,0.60375
force,d7:read_facing:middle,0.4925,0.5508084595224629,0.475,0.012265480188748623,True,640,0.4603750000000001,0.52875
force,d7:read_facing:leaf,0.49125,0.5135073997285853,0.475,-0.021649455558644837,True,640,0.496875,0.6175
other_tui,input_bow,0.55875,0.5414633466749365,0.5625,0.01898782715854841,True,3295,0.484375,0.581875
other_tui,d5:fold:root,0.626875,0.616972823099422,0.5875,0.307469277337135,True,640,0.48274999999999996,0.545625
other_tui,d5:fold:middle,0.621875,0.6030880116190465,0.6000000000000001,0.29932917791052194,True,640,0.47862499999999997,0.551875
other_tui,d5:fold:leaf,0.59875,0.5869337111664577,0.6000000000000001,0.23948171147761074,True,640,0.471375,0.540625
other_tui,d5:read_facing:root,0.650625,0.5958159194886337,0.575,0.4132599922750886,True,640,0.502625,0.5825
other_tui,d5:read_facing:middle,0.6025,0.5657182746367774,0.55,0.2243984198662698,True,640,0.46825,0.591875
other_tui,d5:read_facing:leaf,0.59875,0.5869337111664577,0.6000000000000001,0.23948171147761074,True,640,0.471375,0.540625
other_tui,d6:fold:root,0.67125,0.6664105047187896,0.6625,0.3727962052624167,True,640,0.47750000000000004,0.560625
other_tui,d6:fold:middle,0.706875,0.6802280182631979,0.6625,0.4043671298115077,True,640,0.461625,0.5625
other_tui,d6:fold:leaf,0.675,0.6891443929349046,0.6375,0.345716587782264,True,640,0.46075,0.56125
other_tui,d6:read_facing:root,0.74125,0.7109794786848862,0.675,0.5723730786847555,True,640,0.501,0.583125
other_tui,d6:read_facing:middle,0.680625,0.6770594673503976,0.625,0.41040648138001323,True,640,0.48287500000000005,0.5325
other_tui,d6:read_facing:leaf,0.675,0.6891443929349046,0.6375,0.345716587782264,True,640,0.46075,0.56125
other_tui,d7:fold:root,0.673125,0.6745212015573453,0.5875,0.35204123295078454,True,640,0.45575,0.543125
other_tui,d7:fold:middle,0.6875,0.6941283454109526,0.6375,0.4112466791780212,True,640,0.43975,0.53125
other_tui,d7:fold:leaf,0.64,0.6424477990853407,0.6375,0.3348745355485838,True,640,0.46125,0.553125
other_tui,d7:read_facing:root,0.68625,0.6792753484864354,0.65,0.49473688708694247,True,640,0.4607500000000001,0.51875
other_tui,d7:read_facing:middle,0.6875,0.6721268790282412,0.5875,0.4108802554992078,True,640,0.455875,0.51375
other_tui,d7:read_facing:leaf,0.64,0.6424477990853407,0.6375,0.3348745355485838,True,640,0.46125,0.553125
